link,tag
https://www.cnbcindonesia.com/opini/20250227165858-14-614231/catatan-kritis-terhadap-danantara-indonesia,opinion
https://www.tempo.co/ekonomi/ihsg-anjlok-pengamat-sebut-danantara-belum-bisa-topang-pasar-saham-1213125,economy
https://www.jawapos.com/ekonomi/015706887/di-tengah-gejolak-ekonomi-global-pengelola-danantara-perlu-komunikasi-publik-yang-baik,economy
https://www.tempo.co/ekonomi/ada-yang-khawatir-danantara-bisa-bernasib-sama-dengan-1mdb-malaysia-kronologi-kasus-1mdb-1213330,economy
https://www.cnnindonesia.com/ekonomi/20250225064036-532-1202039/mampukah-danantara-bantu-prabowo-genjot-ekonomi-indonesia,economy
https://medium.com/@yongopi/pro-dan-kontra-danantara-d7a821d9d871,opinion
https://medium.com/@ndorokakung/dongeng-tentang-telur-emas-bernama-danantara-6391a6e3cb0e,opinion
https://medium.com/@ri2n.faaz/danantara-a-new-paradigm-in-indonesian-investment-governance-9456d0ce01d1,opinion
https://medium.com/@septianangga7/danantara-quest-for-solution-or-ambition-36be5839281d,opinion
https://medium.com/@redaksisuarakebebasan/artikel-opini-f9b90b07fbee,opinion
https://www.kompas.com/tren/read/2025/02/24/084500065/4-kontroversi-danantara-yang-akan-diluncurkan-prabowo-hari-ini,local_news
https://kumparan.com/haryo-dolot/menakar-danantara-antara-potensi-dan-ancaman-korupsi-24bRAr1PVAG,local_news
https://money.kompas.com/read/2025/02/18/053940026/danantara-antara-pengorbanan-rakyat-dan-ambisi-pemimpin,local_news
https://ugm.ac.id/id/berita/pakar-ugm-ungkap-dampak-positif-dan-negatif-kemunculan-danantara/,academic
https://www.bloombergtechnoz.com/detail-news/63336/isu-rosan-jadi-ketua-danantara-dpr-itu-hak-prerogratif-presiden/2,local_news
https://www.cnnindonesia.com/ekonomi/20250224164041-532-1201918/ekonom-beri-waktu-danantara-unjuk-gigi-dongkrak-ekonomi-ri-1-tahun,economy
